"Result  :  Query Result"
"Save Time: 03/01/2019 13:32:49"

"User Name:xli"

"Total 27,350   Records"

"Start Time","Period","NE Name","ABCF SIP ACCESS NETWORK","Audio Codec EVS Conversions (times)","Audio Codec EVS Transparent Transmissions (times)","Wideband Codec Conversions Between EVS and AMR (times)","Wideband Codec Conversions Between EVS and AMR-WB (times)","Wideband Codec Conversions Between EVS and EVS (times)","Wideband Codec Conversions Between EVS and G.722 (times)","Wideband Codec Conversions Between EVS and G.723 (times)","Wideband Codec Conversions Between EVS and G.729 (times)","Wideband Codec Conversions Between EVS and iLBC (times)","Wideband Codec Conversions Between EVS and PCMA (times)","Wideband Codec Conversions Between EVS and PCMU (times)"
02/01/2019 02:30:00,15,"rn2imsbc031","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,61,0,0,0,0,0,0,0,0,0
02/01/2019 02:30:00,15,"ofbh1imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",12,0,0,12,0,0,0,0,0,0,0
02/01/2019 02:30:00,15,"ofbh1imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,92,0,0,0,0,0,0,0,0,0
02/01/2019 02:30:00,15,"lpzg1imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",2,0,0,2,0,0,0,0,0,0,0
02/01/2019 02:30:00,15,"lpzg1imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,57,0,0,0,0,0,0,0,0,0
02/01/2019 02:30:00,15,"hmbg6imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",9,0,0,9,0,0,0,0,0,0,0
02/01/2019 02:30:00,15,"hmbg6imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,49,0,0,0,0,0,0,0,0,0
02/01/2019 02:30:00,15,"mnch4imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",6,0,0,6,0,0,0,0,0,0,0
02/01/2019 02:30:00,15,"mnch4imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,54,0,0,0,0,0,0,0,0,0
02/01/2019 02:45:00,15,"rn2imsbc031","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",8,0,0,8,0,0,0,0,0,0,0
02/01/2019 02:45:00,15,"rn2imsbc031","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,86,0,0,0,0,0,0,0,0,0
02/01/2019 02:45:00,15,"ofbh1imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",7,0,0,7,0,0,0,0,0,0,0
02/01/2019 02:45:00,15,"ofbh1imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,32,0,0,0,0,0,0,0,0,0
02/01/2019 02:45:00,15,"lpzg1imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",5,0,0,5,0,0,0,0,0,0,0
02/01/2019 02:45:00,15,"lpzg1imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,51,0,0,0,0,0,0,0,0,0
