"Result  :  Query Result"
"Save Time: 03/01/2019 13:33:24"

"User Name:xli"

"Total 13,675   Records"

"Start Time","Period","NE Name","ABCF","Number of Generated 300 Multiple Choices (times)","Number of Generated 301 Moved Permanently (times)","Number of Generated 302 Moved Temporarily (times)","Number of Generated 305 Use Proxy (times)","Number of Generated 380 Alternative Service (times)","Number of Generated 400 Bad Request (times)","Number of Generated 401 Unauthorized (times)","Number of Generated 402 Payment Required (times)","Number of Generated 403 Forbidden (times)","Number of Generated 404 Not Found (times)","Number of Generated 405 Method Not Allowed (times)","Number of Generated 406 Not Acceptable (times)","Number of Generated 408 Request Timeout (times)","Number of Generated 410 Gone (times)","Number of Generated 412 Precondition Failed (times)","Number of Generated 413 Request Entity Too Large (times)","Number of Generated 414 Request-URI Too Large (times)","Number of Generated 415 Unsupported Media Type (times)","Number of Generated 416 Unsupported URI Scheme (times)","Number of Generated 420 Bad Extension (times)","Number of Generated 421 Extension Required (times)","Number of Generated 422 Session Interval Too Small (times)","Number of Generated 423 Interval Too Brief (times)","Number of Generated 429 Provide Referrer Identity (times)","Number of Generated 433 Anonymity Disallowed (times)","Number of Generated 480 Temporarily Unavailable (times)","Number of Generated 481 Call/Transaction Does Not Exist (times)","Number of Generated 482 Loop Detected (times)","Number of Generated 483 Too Many Hops (times)","Number of Generated 484 Address Incomplete (times)","Number of Generated 485 Ambiguous (times)","Number of Generated 486 Busy Here (times)","Number of Generated 487 Request Terminated (times)","Number of Generated 488 Not Acceptable Here (times)","Number of Generated 489 Bad Event (times)","Number of Generated 491 Request Pending (times)","Number of Generated 493 Undecipherable (times)","Number of Generated 494 Security Agreement Required (times)","Number of Generated 500 Server Internal Error (times)","Number of Generated 501 Not Implemented (times)","Number of Generated 502 Bad Gateway (times)","Number of Generated 503 Service Unavailable (times)","Number of Generated 504 Server Time-out (times)","Number of Generated 505 Version Not Supported (times)","Number of Generated 513 Message Too Large (times)","Number of Generated 533 Service Lost (times)","Number of Generated 580 Precondition Failure (times)","Number of Generated 600 Busy Everywhere (times)","Number of Generated 603 Decline (times)","Number of Generated 604 Does not exist anywhere (times)","Number of Generated 606 Not Acceptable (times)","Number of Generated Other 3xx for INVITE (times)","Number of Generated Other 4xx for INVITE (times)","Number of Generated Other 5xx for INVITE (times)","Number of Generated Other 6xx for INVITE (times)"
02/28/2019 00:30:00,15,"rn2imsbc031","Entity name=ABCF",0,0,0,0,0,0,0,0,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 00:30:00,15,"ofbh1imsbc007","Entity name=ABCF",0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 00:30:00,15,"lpzg1imsbc007","Entity name=ABCF",0,0,0,0,2,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 00:30:00,15,"hmbg6imsbc007","Entity name=ABCF",0,0,0,0,1,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 00:30:00,15,"mnch4imsbc007","Entity name=ABCF",0,0,0,0,9,0,0,0,0,1441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 00:45:00,15,"rn2imsbc031","Entity name=ABCF",0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 00:45:00,15,"ofbh1imsbc007","Entity name=ABCF",0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 00:45:00,15,"lpzg1imsbc007","Entity name=ABCF",0,0,0,0,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 00:45:00,15,"hmbg6imsbc007","Entity name=ABCF",0,0,0,0,1,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 00:45:00,15,"mnch4imsbc007","Entity name=ABCF",0,0,0,0,2,0,0,0,0,656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 01:00:00,15,"rn2imsbc031","Entity name=ABCF",0,0,0,0,1,0,0,0,0,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 01:00:00,15,"ofbh1imsbc007","Entity name=ABCF",0,0,0,0,2,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 01:00:00,15,"lpzg1imsbc007","Entity name=ABCF",0,0,0,0,3,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 01:00:00,15,"hmbg6imsbc007","Entity name=ABCF",0,0,0,0,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 01:00:00,15,"mnch4imsbc007","Entity name=ABCF",0,0,0,0,0,0,0,0,0,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 01:15:00,15,"rn2imsbc031","Entity name=ABCF",0,0,0,0,2,0,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 01:15:00,15,"ofbh1imsbc007","Entity name=ABCF",0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 01:15:00,15,"lpzg1imsbc007","Entity name=ABCF",0,0,0,0,2,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 01:15:00,15,"hmbg6imsbc007","Entity name=ABCF",0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 01:15:00,15,"mnch4imsbc007","Entity name=ABCF",0,0,0,0,0,0,0,0,0,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 01:30:00,15,"rn2imsbc031","Entity name=ABCF",0,0,0,0,1,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 01:30:00,15,"ofbh1imsbc007","Entity name=ABCF",0,0,0,0,1,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 01:30:00,15,"lpzg1imsbc007","Entity name=ABCF",0,0,0,0,1,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 01:30:00,15,"hmbg6imsbc007","Entity name=ABCF",0,0,0,0,1,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 01:30:00,15,"mnch4imsbc007","Entity name=ABCF",0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 01:45:00,15,"rn2imsbc031","Entity name=ABCF",0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 01:45:00,15,"ofbh1imsbc007","Entity name=ABCF",0,0,0,0,5,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 01:45:00,15,"lpzg1imsbc007","Entity name=ABCF",0,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 01:45:00,15,"hmbg6imsbc007","Entity name=ABCF",0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 01:45:00,15,"mnch4imsbc007","Entity name=ABCF",0,0,0,0,2,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 02:00:00,15,"rn2imsbc031","Entity name=ABCF",0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 02:00:00,15,"ofbh1imsbc007","Entity name=ABCF",0,0,0,0,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 02:00:00,15,"lpzg1imsbc007","Entity name=ABCF",0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 02:00:00,15,"hmbg6imsbc007","Entity name=ABCF",0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 02:00:00,15,"mnch4imsbc007","Entity name=ABCF",0,0,0,0,1,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 02:15:00,15,"rn2imsbc031","Entity name=ABCF",0,0,0,0,2,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 02:15:00,15,"ofbh1imsbc007","Entity name=ABCF",0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 02:15:00,15,"lpzg1imsbc007","Entity name=ABCF",0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 02:15:00,15,"hmbg6imsbc007","Entity name=ABCF",0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 02:15:00,15,"mnch4imsbc007","Entity name=ABCF",0,0,0,0,1,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 02:30:00,15,"rn2imsbc031","Entity name=ABCF",0,0,0,0,1,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 02:30:00,15,"ofbh1imsbc007","Entity name=ABCF",0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 02:30:00,15,"lpzg1imsbc007","Entity name=ABCF",0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 02:30:00,15,"hmbg6imsbc007","Entity name=ABCF",0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 02:30:00,15,"mnch4imsbc007","Entity name=ABCF",0,0,0,0,4,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 02:45:00,15,"rn2imsbc031","Entity name=ABCF",0,0,0,0,3,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 02:45:00,15,"ofbh1imsbc007","Entity name=ABCF",0,0,0,0,1,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 02:45:00,15,"lpzg1imsbc007","Entity name=ABCF",0,0,0,0,2,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 02:45:00,15,"hmbg6imsbc007","Entity name=ABCF",0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 02:45:00,15,"mnch4imsbc007","Entity name=ABCF",0,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 03:00:00,15,"rn2imsbc031","Entity name=ABCF",0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 03:00:00,15,"ofbh1imsbc007","Entity name=ABCF",0,0,0,0,3,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 03:00:00,15,"lpzg1imsbc007","Entity name=ABCF",0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 03:00:00,15,"hmbg6imsbc007","Entity name=ABCF",0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 03:00:00,15,"mnch4imsbc007","Entity name=ABCF",0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 03:15:00,15,"rn2imsbc031","Entity name=ABCF",0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 03:15:00,15,"ofbh1imsbc007","Entity name=ABCF",0,0,0,0,1,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 03:15:00,15,"lpzg1imsbc007","Entity name=ABCF",0,0,0,0,3,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 03:15:00,15,"hmbg6imsbc007","Entity name=ABCF",0,0,0,0,2,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 03:15:00,15,"mnch4imsbc007","Entity name=ABCF",0,0,0,0,2,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 03:30:00,15,"rn2imsbc031","Entity name=ABCF",0,0,0,0,4,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 03:30:00,15,"ofbh1imsbc007","Entity name=ABCF",0,0,0,0,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 03:30:00,15,"lpzg1imsbc007","Entity name=ABCF",0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 03:30:00,15,"hmbg6imsbc007","Entity name=ABCF",0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 03:30:00,15,"mnch4imsbc007","Entity name=ABCF",0,0,0,0,1,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 03:45:00,15,"rn2imsbc031","Entity name=ABCF",0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 03:45:00,15,"ofbh1imsbc007","Entity name=ABCF",0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 03:45:00,15,"lpzg1imsbc007","Entity name=ABCF",0,0,0,0,2,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 03:45:00,15,"hmbg6imsbc007","Entity name=ABCF",0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 03:45:00,15,"mnch4imsbc007","Entity name=ABCF",0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 04:00:00,15,"rn2imsbc031","Entity name=ABCF",0,0,0,0,1,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 04:00:00,15,"ofbh1imsbc007","Entity name=ABCF",0,0,0,0,1,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 04:00:00,15,"lpzg1imsbc007","Entity name=ABCF",0,0,0,0,2,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 04:00:00,15,"hmbg6imsbc007","Entity name=ABCF",0,0,0,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 04:00:00,15,"mnch4imsbc007","Entity name=ABCF",0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 04:15:00,15,"rn2imsbc031","Entity name=ABCF",0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 04:15:00,15,"ofbh1imsbc007","Entity name=ABCF",0,0,0,0,2,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 04:15:00,15,"lpzg1imsbc007","Entity name=ABCF",0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 04:15:00,15,"hmbg6imsbc007","Entity name=ABCF",0,0,0,0,1,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 04:15:00,15,"mnch4imsbc007","Entity name=ABCF",0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 04:30:00,15,"rn2imsbc031","Entity name=ABCF",0,0,0,0,3,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 04:30:00,15,"ofbh1imsbc007","Entity name=ABCF",0,0,0,0,2,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 04:30:00,15,"lpzg1imsbc007","Entity name=ABCF",0,0,0,0,1,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 04:30:00,15,"hmbg6imsbc007","Entity name=ABCF",0,0,0,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 04:30:00,15,"mnch4imsbc007","Entity name=ABCF",0,0,0,0,2,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 04:45:00,15,"rn2imsbc031","Entity name=ABCF",0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2019 04:45:00,15,"ofbh1imsbc007","Entity name=ABCF",0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
